Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód 1/ATC kód 2;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"ALMOWILL-DUO 875 mg/125 mg filmtabletta;""14 X   - buborékcsomagolásban"";""OGYI-T-23085/01"";""amoxicillin;clavulanic acid"";""Goodwill Pharma Nyrt."";""J01CR02"";""2025-03-10 00:00:00"";""2026-01-03 00:00:00"";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ALPRESTIL 20 mikrogramm/ml koncentrátum oldatos infúzióhoz;""5 X 1 ml ampulla"";""OGYI-T-06095/01"";""alprostadil"";""Gebro Pharma GmbH"";""C01EA01"";""2025-04-15 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"ALPROSTADIL ALTAN 20 mikrogramm por oldatos infúzióhoz;""5 X   - injekciós üvegben"";""OGYI-T-23492/02"";""alprostadil"";""Altan Pharma Ltd. "";""C01EA01"";""2025-02-03 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Egyedi import"";"
"AMBROBENE  7,5 mg/ml belsõleges oldat;""1 X 40 ml üvegben"";""OGYI-T-02095/05"";""ambroxol"";""Teva Gyógyszergyár Zrt."";""R05CB06"";""2018-06-18 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"AMIKACIN B. BRAUN  5 mg/ml oldatos infúzió;""10 X 100 ml LDPE palackban"";""OGYI-T-21811/01"";""amikacin"";""B. Braun Melsungen AG"";""J01GB06"";""2025-08-07 00:00:00"";""2025-12-30 00:00:00"";""Szállítási vagy raktározási gondok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"AMILOZID-TEVA 50 mg/5 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-04882/02"";""amiloride;hydrochlorothiazide"";""Teva Gyógyszergyár Zrt."";""C03EA01"";""2021-06-30 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"AMINOMIX 2 NOVUM oldatos infúzió;""6 X 1000 ml Biofine zsákban"";""OGYI-T-10484/04"";""electrolits;amino acids"";""Fresenius Kabi Deutschland GmbH"";""B05BA10"";""2012-05-11 00:00:00"";"""";""Adminisztratív okok"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"AMIODARON HAMELN 50 mg/ml koncentrátum oldatos injekcióhoz vagy infúzióhoz;""10 X   - ampulla"";""OGYI-T-23345/02"";""amiodarone hydrochloride"";""Hameln Pharma GmbH"";""C01BD01"";""2023-12-01 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"AMLODIPIN-ZENTIVA 10 mg tabletta;""90 X   - buborékcsomagolásban"";""OGYI-T-20201/06"";""amlodipine"";""Zentiva"
"AMLODIPIN/VALSARTAN SANDOZ 10 mg/160 mg filmtabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-23026/29"";""valsartan;amlodipine"";""Sandoz Hungária Kft."";""C09DB01"";""2024-10-15 00:00:00"";""2025-12-31 00:00:00"";""Hatóanyag"
"AMLOZEK  5 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-09542/01"";""amlodipine"";""Zentiva"
"AMLOZEK 10 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-09542/02"";""amlodipine"";""Zentiva"
"AMOKIL 500 mg/125 mg filmtabletta;""21 X   - buborékcsomagolásban"";""OGYI-T-22557/12"";""amoxicillin;clavulanic acid"";""Actavis Group PTC ehf."";""J01CR02"";""2025-10-14 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"AMOKIL 875 mg/125 mg filmtabletta;""14 X   - buborékcsomagolásban"";""OGYI-T-22557/27"";""amoxicillin;clavulanic acid"";""Actavis Group PTC ehf."";""J01CR02"";""2025-10-14 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"AMOXICILLIN/KLAVULÁNSAV APTAPHARMA 1000 mg/200 mg por oldatos injekcióhoz vagy infúzióhoz;""1 X   - injekciós üvegben"";""OGYI-T-23825/01"";""amoxicillin sodium;potassium clavulanate"";""Apta Medica Internacional d.o.o."";""J01CR02"";""2023-07-31 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"AMOXICILLIN/KLAVULÁNSAV APTAPHARMA 1000 mg/200 mg por oldatos injekcióhoz vagy infúzióhoz;""100 X   - injekciós üvegben"";""OGYI-T-23825/03"";""amoxicillin sodium;potassium clavulanate"";""Apta Medica Internacional d.o.o."";""J01CR02"";""2023-07-31 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"AMOXICILLIN/KLAVULÁNSAV KABI 2000 mg/200 mg por oldatos infúzióhoz;""10 X 100 ml injekciós üvegben"";""OGYI-T-22650/12"";""amoxicillin;clavulanic acid"";""Fresenius Kabi Hungary Kft."";""J01CR02"";""2016-03-22 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"AMOXICILLIN/KLAVULÁNSAV SANDOZ 1000 mg/200 mg por oldatos injekcióhoz;""5 X   - injekciós üvegben"";""OGYI-T-23251/02"";""amoxicillin;clavulanic acid"";""Sandoz GmbH"";""J01CR02"";""2025-10-14 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"AMPICILLIN EBERTH 1 g por oldatos injekcióhoz vagy infúzióhoz;""10 X   - injekciós üvegben"";""OGYI-T-24307/03"";""ampicillin sodium"";""Dr. Friedrich Eberth Arzneimittel GmbH"";""J01CA01"";""2025-09-24 00:00:00"";""2026-01-31 00:00:00"";""Piaci megfontolások"";""Azonos hatóanyag"
"AMPICILLIN EBERTH 2 g por oldatos injekcióhoz vagy infúzióhoz;""10 X   - injekciós üvegben"";""OGYI-T-24307/05"";""ampicillin sodium"";""Dr. Friedrich Eberth Arzneimittel GmbH"";""J01CA01"";""2025-02-06 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"ANAFRANIL 25 mg bevont tabletta;""30 X   - átlátszó buborékcsomagolásban"";""OGYI-T-02241/03"";""clomipramine"";""pharmaand GmbH"";""N06AA04"";""2025-10-07 00:00:00"";""2026-01-31 00:00:00"";""Korlátozottan elérhetõ "";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"ANAPEN 300 mikrogramm/0,3 ml oldatos injekció elõretöltött fecskendõben;""1 X 1.05 ml elõretöltött fecskendõben"";""OGYI-T-09925/01"";""epinephrine (adrenaline)"";""Bioprojet Pharma"";""C01CA24"";""2024-03-18 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"ANAPEN JUNIOR 150 mikrogramm/0,3 ml oldatos injekció elõretöltött fecskendõben;""1 X 0.3 ml elõretöltött fecskendõben"";""OGYI-T-09924/01"";""epinephrine (adrenaline)"";""Bioprojet Pharma"";""C01CA24"";""2024-03-18 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"ANDROCUR 100 mg tabletta;""1 X 50 - buborékcsomagolásban"";""OGYI-T-01909/03"";""cyproterone"";""Advanz Pharma Ltd."";""G03HA01"";""2025-10-27 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"ANDROCUR 100 mg tabletta;""1 X 60 - buborékcsomagolásban"";""OGYI-T-01909/04"";""cyproterone"";""Advanz Pharma Ltd."";""G03HA01"";""2025-10-27 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"ANESIA 10 mg/ml emulziós injekció vagy infúzió;""1 X 50 ml injekciós üvegben"";""OGYI-T-22024/03"";""propofol"";""Baxter Holding B.V."";""N01AX10"";""2021-04-28 00:00:00"";"""";""Megnövekedett igény"";""Azonos hatóanyag"
"ANESIA 10 mg/ml emulziós injekció vagy infúzió;""5 X 20 ml injekciós üvegben"";""OGYI-T-22024/02"";""propofol"";""Baxter Holding B.V."";""N01AX10"";""2021-04-28 00:00:00"";"""";""Megnövekedett igény"";""Azonos hatóanyag"
"ANESIA 20 mg/ml emulziós injekció vagy infúzió;""1 X 50 ml injekciós üvegben"";""OGYI-T-22024/07"";""propofol"";""Baxter Holding B.V."";""N01AX10"";""2021-04-28 00:00:00"";"""";""Megnövekedett igény"";""Azonos hatóanyag"
"ANIDULAFUNGIN-TEVA 100 mg por oldatos infúzióhoz való koncentrátumhoz;""1 X   - injekciós üvegben"";""OGYI-T-23348/01"";""anidulafungin"";""Teva Gyógyszergyár Zrt."";""J02AX06"";""2022-09-23 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"ANTAETHYL 500 mg tabletta;""20 X   - tartályban"";""OGYI-T-02907/01"";""disulfiram"";""Neuraxpharm Hungary Kft"";""N07BB01"";""2023-02-08 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"ANTIFRONT BÉRES belsõleges cseppek;""1 X 30 ml üvegben"";""OGYI-TN-11/01"";""ginger;Liquorice root;Melissa leaf;Camelliae sinensis folium;Turmeric"
"ANTIFRONT BÉRES kemény kapszula;""30 X   - tartályban"";""OGYI-TN-38/01"";""ginger;Liquorice root;Melissa leaf;Turmeric"
"AQUA DESTILLATA KABI oldószer parenterális készítményekhez;""20 X 10 ml ampulla"";""OGYI-T-21038/03"";""Water for injections"";""Fresenius Kabi Hungary Kft."";""V07AB"";""2025-02-03 00:00:00"";"""";""Forgalmazás megszüntetése"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ARCOXIA  60 mg filmtabletta;""14 X   - buborékcsomagolásban"";""OGYI-T-08825/06"";""etoricoxib"";""Organon Hungary Kft."";""M01AH05"";""2020-09-11 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"ARCOXIA  60 mg filmtabletta;""7 X   - buborékcsomagolásban"";""OGYI-T-08825/29"";""etoricoxib"";""Organon Hungary Kft."";""M01AH05"";""2016-11-10 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"ARCOXIA  90 mg filmtabletta;""14 X   - buborékcsomagolásban"";""OGYI-T-08825/08"";""etoricoxib"";""Organon Hungary Kft."";""M01AH05"";""2019-04-15 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"ARCOXIA  90 mg filmtabletta;""7 X   - buborékcsomagolásban"";""OGYI-T-08825/43"";""etoricoxib"";""Organon Hungary Kft."";""M01AH05"";""2015-09-10 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ARIPIPRAZOL STADA 15 mg tabletta;""56 X   - buborékcsomagolásban"";""OGYI-T-22898/19"";""aripiprazole"";""Stada Arzneimittel AG"";""N05AX12"";""2022-07-11 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ARIPIPRAZOL STADA 30 mg tabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-22898/27"";""aripiprazole"";""Stada Arzneimittel AG"";""N05AX12"";""2022-07-11 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ASDUTER 10 mg tabletta;""56 X   - HDPE tartályban"";""OGYI-T-22835/17"";""aripiprazole"";""Vipharm S.A."";""N05AX12"";""2025-01-31 00:00:00"";""2025-11-15 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ASPIRIN 500 mg tabletta;""10 X   - átlátszó buborékcsomagolásban"";""OGYI-T-01505/02"";""acetylsalicylic acid"";""Bayer Hungária Kft."";""N02BA01"";""2015-11-30 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ASPIRIN 500 mg tabletta;""20 X   - átlátszó buborékcsomagolásban"";""OGYI-T-01505/03"";""acetylsalicylic acid"";""Bayer Hungária Kft."";""N02BA01"";""2015-11-30 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ASPIRIN 500 mg tabletta;""50 X   - átlátszó buborékcsomagolásban"";""OGYI-T-01505/07"";""acetylsalicylic acid"";""Bayer Hungária Kft."";""N02BA01"";""2015-11-30 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
