atc_code,atc_name,code_length,parent_code,level,length_validation,atc_level1,atc_level2,atc_level3,atc_level4
A10AC04,insulin lispro,7,A10AC,5,TRUE,A,A10,A10A,A10AC
A10AC30,combinations,7,A10AC,5,TRUE,A,A10,A10A,A10AC
A10AD01,insulin (human),7,A10AD,5,TRUE,A,A10,A10A,A10AD
A10AD02,insulin (beef),7,A10AD,5,TRUE,A,A10,A10A,A10AD
A10AD03,insulin (pork),7,A10AD,5,TRUE,A,A10,A10A,A10AD
A10AD04,insulin lispro,7,A10AD,5,TRUE,A,A10,A10A,A10AD
A10AD05,insulin aspart,7,A10AD,5,TRUE,A,A10,A10A,A10AD
A10AD06,insulin degludec and insulin aspart,7,A10AD,5,TRUE,A,A10,A10A,A10AD
A10AD30,combinations,7,A10AD,5,TRUE,A,A10,A10A,A10AD
A10AE01,insulin (human),7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE02,insulin (beef),7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE03,insulin (pork),7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE04,insulin glargine,7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE05,insulin detemir,7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE06,insulin degludec,7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE07,insulin icodec,7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE30,combinations,7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE54,insulin glargine and lixisenatide,7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AE56,insulin degludec and liraglutide,7,A10AE,5,TRUE,A,A10,A10A,A10AE
A10AF01,insulin (human),7,A10AF,5,TRUE,A,A10,A10A,A10AF
A10XA01,tolrestat,7,A10XA,5,TRUE,A,A10,A10X,A10XA
A10XX01,teplizumab,7,A10XX,5,TRUE,A,A10,A10X,A10XX
A03AA01,oxyphencyclimine,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AA03,camylofin,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AA04,mebeverine,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AA05,trimebutine,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AA06,rociverine,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AA07,dicycloverine,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AA08,dihexyverine,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AA09,difemerine,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AA30,piperidolate,7,A03AA,5,TRUE,A,A03,A03A,A03AA
A03AB01,benzilone,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB02,glycopyrronium bromide,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB03,oxyphenonium,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB04,penthienate,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB05,propantheline,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB06,otilonium bromide,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB07,methantheline,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB08,tridihexethyl,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB09,isopropamide,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB10,hexocyclium,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB11,poldine,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB12,mepenzolate,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB13,bevonium,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB14,pipenzolate,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB15,diphemanil,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB17,tiemonium iodide,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB18,prifinium bromide,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB19,timepidium bromide,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB21,fenpiverinium,7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AB53,"oxyphenonium, combinations",7,A03AB,5,TRUE,A,A03,A03A,A03AB
A03AC02,dimethylaminopropionylphenothiazine,7,A03AC,5,TRUE,A,A03,A03A,A03AC
A03AC04,nicofetamide,7,A03AC,5,TRUE,A,A03,A03A,A03AC
A03AC05,tiropramide,7,A03AC,5,TRUE,A,A03,A03A,A03AC
A03AD01,papaverine,7,A03AD,5,TRUE,A,A03,A03A,A03AD
A03AD02,drotaverine,7,A03AD,5,TRUE,A,A03,A03A,A03AD
A03AD30,moxaverine,7,A03AD,5,TRUE,A,A03,A03A,A03AD
A03AE01,alosetron,7,A03AE,5,TRUE,A,A03,A03A,A03AE
A03AE03,cilansetron,7,A03AE,5,TRUE,A,A03,A03A,A03AE
A03AX01,fenpiprane,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX02,diisopromine,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX03,chlorbenzoxamine,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX04,pinaverium,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX05,fenoverine,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX06,idanpramine,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX07,proxazole,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX08,alverine,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX09,trepibutone,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX10,isometheptene,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX11,caroverine,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX12,phloroglucinol,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX13,silicones,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX14,valethamate,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX15,menthae piperitae aetheroleum,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX30,trimethyldiphenylpropylamine,7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03AX58,"alverine, combinations",7,A03AX,5,TRUE,A,A03,A03A,A03AX
A03BA01,atropine,7,A03BA,5,TRUE,A,A03,A03B,A03BA
A03BA03,hyoscyamine,7,A03BA,5,TRUE,A,A03,A03B,A03BA
A03BA04,belladonna total alkaloids,7,A03BA,5,TRUE,A,A03,A03B,A03BA
A03BB01,butylscopolamine,7,A03BB,5,TRUE,A,A03,A03B,A03BB
A03BB02,methylatropine,7,A03BB,5,TRUE,A,A03,A03B,A03BB
A03BB03,methylscopolamine,7,A03BB,5,TRUE,A,A03,A03B,A03BB
A03BB04,fentonium,7,A03BB,5,TRUE,A,A03,A03B,A03BB
A03BB05,cimetropium bromide,7,A03BB,5,TRUE,A,A03,A03B,A03BB
A03BB06,homatropine methylbromide,7,A03BB,5,TRUE,A,A03,A03B,A03BB
A03CA01,isopropamide and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA02,clidinium and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA03,oxyphencyclimine and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA04,otilonium bromide and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA05,glycopyrronium bromide and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA06,bevonium and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA07,ambutonium and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA08,diphemanil and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA09,pipenzolate and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA30,emepronium and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CA34,propantheline and psycholeptics,7,A03CA,5,TRUE,A,A03,A03C,A03CA
A03CB01,methylscopolamine and psycholeptics,7,A03CB,5,TRUE,A,A03,A03C,A03CB
A03CB02,belladonna total alkaloids and psycholeptics,7,A03CB,5,TRUE,A,A03,A03C,A03CB
A03CB03,atropine and psycholeptics,7,A03CB,5,TRUE,A,A03,A03C,A03CB
A03CB04,homatropine methylbromide and psycholeptics,7,A03CB,5,TRUE,A,A03,A03C,A03CB
A03CB31,hyoscyamine and psycholeptics,7,A03CB,5,TRUE,A,A03,A03C,A03CB
A03DA01,tropenzilone and analgesics,7,A03DA,5,TRUE,A,A03,A03D,A03DA
A03DA02,pitofenone and analgesics,7,A03DA,5,TRUE,A,A03,A03D,A03DA
A03DA03,bevonium and analgesics,7,A03DA,5,TRUE,A,A03,A03D,A03DA
A03DA04,ciclonium and analgesics,7,A03DA,5,TRUE,A,A03,A03D,A03DA
A03DA05,camylofin and analgesics,7,A03DA,5,TRUE,A,A03,A03D,A03DA
A03DA06,trospium and analgesics,7,A03DA,5,TRUE,A,A03,A03D,A03DA
A03DA07,tiemonium iodide and analgesics,7,A03DA,5,TRUE,A,A03,A03D,A03DA
A03DB04,butylscopolamine and analgesics,7,A03DB,5,TRUE,A,A03,A03D,A03DB
A03FA01,metoclopramide,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA02,cisapride,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA03,domperidone,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA04,bromopride,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA05,alizapride,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA06,clebopride,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA07,itopride,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA08,cinitapride,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA09,mosapride,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A03FA10,acotiamide,7,A03FA,5,TRUE,A,A03,A03F,A03FA
A02AA01,magnesium carbonate,7,A02AA,5,TRUE,A,A02,A02A,A02AA
A02AA02,magnesium oxide,7,A02AA,5,TRUE,A,A02,A02A,A02AA
A02AA03,magnesium peroxide,7,A02AA,5,TRUE,A,A02,A02A,A02AA
A02AA04,magnesium hydroxide,7,A02AA,5,TRUE,A,A02,A02A,A02AA
A02AA05,magnesium silicate,7,A02AA,5,TRUE,A,A02,A02A,A02AA
A02AA10,combinations,7,A02AA,5,TRUE,A,A02,A02A,A02AA
A02AB01,aluminium hydroxide,7,A02AB,5,TRUE,A,A02,A02A,A02AB
A02AB02,algeldrate,7,A02AB,5,TRUE,A,A02,A02A,A02AB
A02AB03,aluminium phosphate,7,A02AB,5,TRUE,A,A02,A02A,A02AB
A02AB04,dihydroxialumini sodium carbonate,7,A02AB,5,TRUE,A,A02,A02A,A02AB
A02AB05,aluminium acetoacetate,7,A02AB,5,TRUE,A,A02,A02A,A02AB
A02AB06,aloglutamol,7,A02AB,5,TRUE,A,A02,A02A,A02AB
A02AB07,aluminium glycinate,7,A02AB,5,TRUE,A,A02,A02A,A02AB
A02AB10,combinations,7,A02AB,5,TRUE,A,A02,A02A,A02AB
A02AC01,calcium carbonate,7,A02AC,5,TRUE,A,A02,A02A,A02AC
A02AC02,calcium silicate,7,A02AC,5,TRUE,A,A02,A02A,A02AC
A02AC10,combinations,7,A02AC,5,TRUE,A,A02,A02A,A02AC
A02AD01,ordinary salt combinations,7,A02AD,5,TRUE,A,A02,A02A,A02AD
A02AD02,magaldrate,7,A02AD,5,TRUE,A,A02,A02A,A02AD
A02AD03,almagate,7,A02AD,5,TRUE,A,A02,A02A,A02AD
A02AD04,hydrotalcite,7,A02AD,5,TRUE,A,A02,A02A,A02AD
A02AD05,almasilate,7,A02AD,5,TRUE,A,A02,A02A,A02AD
A02AF01,magaldrate and antiflatulents,7,A02AF,5,TRUE,A,A02,A02A,A02AF
A02AF02,ordinary salt combinations and antiflatulents,7,A02AF,5,TRUE,A,A02,A02A,A02AF
A02BA01,cimetidine,7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA02,ranitidine,7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA03,famotidine,7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA04,nizatidine,7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA05,niperotidine,7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA06,roxatidine,7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA07,ranitidine bismuth citrate,7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA08,lafutidine,7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA51,"cimetidine, combinations",7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BA53,"famotidine, combinations",7,A02BA,5,TRUE,A,A02,A02B,A02BA
A02BB01,misoprostol,7,A02BB,5,TRUE,A,A02,A02B,A02BB
A02BB02,enprostil,7,A02BB,5,TRUE,A,A02,A02B,A02BB
A02BC01,omeprazole,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC02,pantoprazole,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC03,lansoprazole,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC04,rabeprazole,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC05,esomeprazole,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC06,dexlansoprazole,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC07,dexrabeprazole,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC08,vonoprazan,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC09,tegoprazan,7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC51,"omeprazole, combinations",7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC53,"lansoprazole, combinations",7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BC54,"rabeprazole, combinations",7,A02BC,5,TRUE,A,A02,A02B,A02BC
A02BD01,"omeprazole, amoxicillin and metronidazole",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD02,"lansoprazole, tetracycline and metronidazole",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD03,"lansoprazole, amoxicillin and metronidazole",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD04,"pantoprazole, amoxicillin and clarithromycin",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD05,"omeprazole, amoxicillin and clarithromycin",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD06,"esomeprazole, amoxicillin and clarithromycin",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD07,"lansoprazole, amoxicillin and clarithromycin",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD08,"bismuth subcitrate, tetracycline and metronidazole",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD09,"lansoprazole, clarithromycin and tinidazole",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD10,"lansoprazole, amoxicillin and levofloxacin",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD12,"rabeprazole, amoxicillin and clarithromycin",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD13,"rabeprazole, amoxicillin and metronidazole",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD14,"vonoprazan, amoxicillin and clarithromycin",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD15,"vonoprazan, amoxicillin and metronidazole",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD16,"omeprazole, amoxicillin and rifabutin",7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BD17,vonoprazan and amoxicillin,7,A02BD,5,TRUE,A,A02,A02B,A02BD
A02BX01,carbenoxolone,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX02,sucralfate,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX03,pirenzepine,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX04,methiosulfonium chloride,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX05,bismuth subcitrate,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX06,proglumide,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX07,gefarnate,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX08,sulglicotide,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX09,acetoxolone,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX10,zolimidine,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX11,troxipide,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX12,bismuth subnitrate,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX13,alginic acid,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX14,rebamipide,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX15,teprenone,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX16,irsogladine,7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX51,"carbenoxolone, combinations excl. psycholeptics",7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX71,"carbenoxolone, combinations with psycholeptics",7,A02BX,5,TRUE,A,A02,A02B,A02BX
A02BX77,"gefarnate, combinations with psycholeptics",7,A02BX,5,TRUE,A,A02,A02B,A02BX
A01AA01,sodium fluoride,7,A01AA,5,TRUE,A,A01,A01A,A01AA
A01AA02,sodium monofluorophosphate,7,A01AA,5,TRUE,A,A01,A01A,A01AA
A01AA03,olaflur,7,A01AA,5,TRUE,A,A01,A01A,A01AA
A01AA04,stannous fluoride,7,A01AA,5,TRUE,A,A01,A01A,A01AA
A01AA30,combinations,7,A01AA,5,TRUE,A,A01,A01A,A01AA
A01AA51,"sodium fluoride, combinations",7,A01AA,5,TRUE,A,A01,A01A,A01AA
A01AB02,hydrogen peroxide,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB03,chlorhexidine,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB04,amphotericin B,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB05,polynoxylin,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB06,domiphen,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB07,oxyquinoline,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB08,neomycin,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB09,miconazole,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB10,natamycin,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB11,various,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB12,hexetidine,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB13,tetracycline,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB14,benzoxonium chloride,7,A01AB,5,TRUE,A,A01,A01A,A01AB
A01AB15,tibezonium iodide,7,A01AB,5,TRUE,A,A01,A01A,A01AB
